#VIN,#VehicleCategoryCode,ClassOfHybridVehicleCode,#FuelTypeCode,#FuelCode1,#FuelCode2,#FuelCode3,FuelCode4,Info manueller Change in DB: vehicleNatureCode 
BFE01emptyB50xx44,N1,Empty,B,50,-,44,-,-
BFE35emptyB50xx44,N1,Empty,B,50,-,44,-,35
BFE38emptyB50xx44,N1,Empty,B,50,-,44,-,38
BFE01emptyB0x40xx,N1,Empty,B,0,40,-,-,-
BFE35emptyB0x40xx,N1,Empty,B,0,40,-,-,35
BFE38emptyB0x40xx,N1,Empty,B,0,40,-,-,38
BFE01emptyB0x400x,N1,Empty,B,0,40,0,-,-
BFE35emptyB0x400x,N1,Empty,B,0,40,0,-,35
BFE38emptyB0x400x,N1,Empty,B,0,40,0,-,38
BFE01emptyB0x4044,N1,Empty,B,0,40,44,-,-
BFE35emptyB0x4044,N1,Empty,B,0,40,44,-,35
BFE38emptyB0x4044,N1,Empty,B,0,40,44,-,38
BFE01emptyB0xxxxx,N1,Empty,B,0,-,-,-,-
BFE35emptyB0xxxxx,N1,Empty,B,0,-,-,-,35
BFE38emptyB0xxxxx,N1,Empty,B,0,-,-,-,38
BFE01emptyB0xxx0x,N1,Empty,B,0,-,0,-,-
BFE35emptyB0xxx0x,N1,Empty,B,0,-,0,-,35
BFE38emptyB0xxx0x,N1,Empty,B,0,-,0,-,38
BFE01emptyB0xxx44,N1,Empty,B,0,-,44,-,-
BFE35emptyB0xxx44,N1,Empty,B,0,-,44,-,35
BFE38emptyB0xxx44,N1,Empty,B,0,-,44,-,38
BFE01emptyB4040xx,N1,Empty,B,40,40,-,-,-
BFE35emptyB4040xx,N1,Empty,B,40,40,-,-,35
BFE38emptyB4040xx,N1,Empty,B,40,40,-,-,38
BFE01emptyB40400x,N1,Empty,B,40,40,0,-,-
BFE35emptyB40400x,N1,Empty,B,40,40,0,-,35
BFE38emptyB40400x,N1,Empty,B,40,40,0,-,38
BFE01emptyB404044,N1,Empty,B,40,40,44,-,-
BFE35emptyB404044,N1,Empty,B,40,40,44,-,35
BFE38emptyB404044,N1,Empty,B,40,40,44,-,38
BFE01emptyB40xxxx,N1,Empty,B,40,-,-,-,-
BFE35emptyB40xxxx,N1,Empty,B,40,-,-,-,35
BFE38emptyB40xxxx,N1,Empty,B,40,-,-,-,38
BFE01emptyB40xx0x,N1,Empty,B,40,-,0,-,-
BFE35emptyB40xx0x,N1,Empty,B,40,-,0,-,35
BFE38emptyB40xx0x,N1,Empty,B,40,-,0,-,38
BFE01emptyB40xx44,N1,Empty,B,40,-,44,-,-
BFE35emptyB40xx44,N1,Empty,B,40,-,44,-,35
BFE38emptyB40xx44,N1,Empty,B,40,-,44,-,38
BFE01emptyB2040xx,N1,Empty,B,20,40,-,-,-
BFE35emptyB2040xx,N1,Empty,B,20,40,-,-,35
BFE38emptyB2040xx,N1,Empty,B,20,40,-,-,38
BFE01emptyB20400x,N1,Empty,B,20,40,0,-,-
BFE35emptyB20400x,N1,Empty,B,20,40,0,-,35
BFE38emptyB20400x,N1,Empty,B,20,40,0,-,38
BFE01emptyB204044,N1,Empty,B,20,40,44,-,-
BFE35emptyB204044,N1,Empty,B,20,40,44,-,35
BFE38emptyB204044,N1,Empty,B,20,40,44,-,38
BFE01emptyB20xxxx,N1,Empty,B,20,-,-,-,-
BFE35emptyB20xxxx,N1,Empty,B,20,-,-,-,35
BFE38emptyB20xxxx,N1,Empty,B,20,-,-,-,38
BFE01emptyB20xx0x,N1,Empty,B,20,-,0,-,-
BFE35emptyB20xx0x,N1,Empty,B,20,-,0,-,35
BFE38emptyB20xx0x,N1,Empty,B,20,-,0,-,38
BFE01emptyB20xx44,N1,Empty,B,20,-,44,-,-
BFE35emptyB20xx44,N1,Empty,B,20,-,44,-,35
BFE38emptyB20xx44,N1,Empty,B,20,-,44,-,38
BFE01emptyT1040xx,N1,Empty,T,10,40,-,-,-
BFE35emptyT1040xx,N1,Empty,T,10,40,-,-,35
BFE38emptyT1040xx,N1,Empty,T,10,40,-,-,38
BFE01emptyT10400x,N1,Empty,T,10,40,0,-,-
BFE35emptyT10400x,N1,Empty,T,10,40,0,-,35
BFE38emptyT10400x,N1,Empty,T,10,40,0,-,38
BFE01emptyT104044,N1,Empty,T,10,40,44,-,-
BFE35emptyT104044,N1,Empty,T,10,40,44,-,35
BFE38emptyT104044,N1,Empty,T,10,40,44,-,38
BFE01emptyT10xxxx,N1,Empty,T,10,-,-,-,-
BFE35emptyT10xxxx,N1,Empty,T,10,-,-,-,35
BFE38emptyT10xxxx,N1,Empty,T,10,-,-,-,38
BFE01emptyT10xx0x,N1,Empty,T,10,-,0,-,-
BFE35emptyT10xx0x,N1,Empty,T,10,-,0,-,35
BFE38emptyT10xx0x,N1,Empty,T,10,-,0,-,38
BFE01emptyT10xx44,N1,Empty,T,10,-,44,-,-
BFE35emptyT10xx44,N1,Empty,T,10,-,44,-,35
BFE38emptyT10xx44,N1,Empty,T,10,-,44,-,38
BFE01emptyT5040xx,N1,Empty,T,50,40,-,-,-
BFE35emptyT5040xx,N1,Empty,T,50,40,-,-,35
BFE38emptyT5040xx,N1,Empty,T,50,40,-,-,38
BFE01emptyT50400x,N1,Empty,T,50,40,0,-,-
BFE35emptyT50400x,N1,Empty,T,50,40,0,-,35
BFE38emptyT50400x,N1,Empty,T,50,40,0,-,38
BFE01emptyT504044,N1,Empty,T,50,40,44,-,-
BFE35emptyT504044,N1,Empty,T,50,40,44,-,35
BFE38emptyT504044,N1,Empty,T,50,40,44,-,38
BFE01emptyT50xxxx,N1,Empty,T,50,-,-,-,-
BFE35emptyT50xxxx,N1,Empty,T,50,-,-,-,35
BFE38emptyT50xxxx,N1,Empty,T,50,-,-,-,38
BFE01emptyT50xx0x,N1,Empty,T,50,-,0,-,-
BFE35emptyT50xx0x,N1,Empty,T,50,-,0,-,35
BFE38emptyT50xx0x,N1,Empty,T,50,-,0,-,38
BFE01emptyT50xx44,N1,Empty,T,50,-,44,-,-
BFE35emptyT50xx44,N1,Empty,T,50,-,44,-,35
BFE38emptyT50xx44,N1,Empty,T,50,-,44,-,38
BFE01emptyT0x40xx,N1,Empty,T,0,40,-,-,-
BFE35emptyT0x40xx,N1,Empty,T,0,40,-,-,35
BFE38emptyT0x40xx,N1,Empty,T,0,40,-,-,38
BFE01emptyT0x400x,N1,Empty,T,0,40,0,-,-
BFE35emptyT0x400x,N1,Empty,T,0,40,0,-,35
BFE38emptyT0x400x,N1,Empty,T,0,40,0,-,38
BFE01emptyT0x4044,N1,Empty,T,0,40,44,-,-
BFE35emptyT0x4044,N1,Empty,T,0,40,44,-,35
BFE38emptyT0x4044,N1,Empty,T,0,40,44,-,38
BFE01emptyT0xxxxx,N1,Empty,T,0,-,-,-,-
BFE35emptyT0xxxxx,N1,Empty,T,0,-,-,-,35
BFE38emptyT0xxxxx,N1,Empty,T,0,-,-,-,38
BFE01emptyT0xxx0x,N1,Empty,T,0,-,0,-,-
BFE35emptyT0xxx0x,N1,Empty,T,0,-,0,-,35
BFE38emptyT0xxx0x,N1,Empty,T,0,-,0,-,38
BFE01emptyT0xxx44,N1,Empty,T,0,-,44,-,-
BFE35emptyT0xxx44,N1,Empty,T,0,-,44,-,35
BFE38emptyT0xxx44,N1,Empty,T,0,-,44,-,38
BFE01emptyT4040xx,N1,Empty,T,40,40,-,-,-
BFE35emptyT4040xx,N1,Empty,T,40,40,-,-,35
BFE38emptyT4040xx,N1,Empty,T,40,40,-,-,38
BFE01emptyT40400x,N1,Empty,T,40,40,0,-,-
BFE35emptyT40400x,N1,Empty,T,40,40,0,-,35
BFE38emptyT40400x,N1,Empty,T,40,40,0,-,38
BFE01emptyT404044,N1,Empty,T,40,40,44,-,-
BFE35emptyT404044,N1,Empty,T,40,40,44,-,35
BFE38emptyT404044,N1,Empty,T,40,40,44,-,38
BFE01emptyT40xxxx,N1,Empty,T,40,-,-,-,-
BFE35emptyT40xxxx,N1,Empty,T,40,-,-,-,35
BFE38emptyT40xxxx,N1,Empty,T,40,-,-,-,38
BFE01emptyT40xx0x,N1,Empty,T,40,-,0,-,-
BFE35emptyT40xx0x,N1,Empty,T,40,-,0,-,35
BFE38emptyT40xx0x,N1,Empty,T,40,-,0,-,38
BFE01emptyT40xx44,N1,Empty,T,40,-,44,-,-
BFE35emptyT40xx44,N1,Empty,T,40,-,44,-,35
BFE38emptyT40xx44,N1,Empty,T,40,-,44,-,38
BFE01emptyT2040xx,N1,Empty,T,20,40,-,-,-
BFE35emptyT2040xx,N1,Empty,T,20,40,-,-,35
BFE38emptyT2040xx,N1,Empty,T,20,40,-,-,38
BFE01emptyT20400x,N1,Empty,T,20,40,0,-,-
BFE35emptyT20400x,N1,Empty,T,20,40,0,-,35
BFE38emptyT20400x,N1,Empty,T,20,40,0,-,38
BFE01emptyT204044,N1,Empty,T,20,40,44,-,-
BFE35emptyT204044,N1,Empty,T,20,40,44,-,35
BFE38emptyT204044,N1,Empty,T,20,40,44,-,38
BFE01emptyT20xxxx,N1,Empty,T,20,-,-,-,-
BFE35emptyT20xxxx,N1,Empty,T,20,-,-,-,35
BFE38emptyT20xxxx,N1,Empty,T,20,-,-,-,38
BFE01emptyT20xx0x,N1,Empty,T,20,-,0,-,-
BFE35emptyT20xx0x,N1,Empty,T,20,-,0,-,35
BFE38emptyT20xx0x,N1,Empty,T,20,-,0,-,38
BFE01emptyT20xx44,N1,Empty,T,20,-,44,-,-
BFE35emptyT20xx44,N1,Empty,T,20,-,44,-,35
BFE38emptyT20xx44,N1,Empty,T,20,-,44,-,38
BFE01emptyM1040xx,N1,Empty,M,10,40,-,-,-
BFE35emptyM1040xx,N1,Empty,M,10,40,-,-,35
BFE38emptyM1040xx,N1,Empty,M,10,40,-,-,38
BFE01emptyM10400x,N1,Empty,M,10,40,0,-,-
BFE35emptyM10400x,N1,Empty,M,10,40,0,-,35
BFE38emptyM10400x,N1,Empty,M,10,40,0,-,38
BFE01emptyM104044,N1,Empty,M,10,40,44,-,-
BFE35emptyM104044,N1,Empty,M,10,40,44,-,35
BFE38emptyM104044,N1,Empty,M,10,40,44,-,38
BFE01emptyM10xxxx,N1,Empty,M,10,-,-,-,-
BFE35emptyM10xxxx,N1,Empty,M,10,-,-,-,35
BFE38emptyM10xxxx,N1,Empty,M,10,-,-,-,38
BFE01emptyM10xx0x,N1,Empty,M,10,-,0,-,-
BFE35emptyM10xx0x,N1,Empty,M,10,-,0,-,35
BFE38emptyM10xx0x,N1,Empty,M,10,-,0,-,38
BFE01emptyM10xx44,N1,Empty,M,10,-,44,-,-
BFE35emptyM10xx44,N1,Empty,M,10,-,44,-,35
BFE38emptyM10xx44,N1,Empty,M,10,-,44,-,38
BFE01emptyM5040xx,N1,Empty,M,50,40,-,-,-
BFE35emptyM5040xx,N1,Empty,M,50,40,-,-,35
BFE38emptyM5040xx,N1,Empty,M,50,40,-,-,38
BFE01emptyM50400x,N1,Empty,M,50,40,0,-,-
BFE35emptyM50400x,N1,Empty,M,50,40,0,-,35
BFE38emptyM50400x,N1,Empty,M,50,40,0,-,38
BFE01emptyM504044,N1,Empty,M,50,40,44,-,-
BFE35emptyM504044,N1,Empty,M,50,40,44,-,35
BFE38emptyM504044,N1,Empty,M,50,40,44,-,38
BFE01emptyM50xxxx,N1,Empty,M,50,-,-,-,-
BFE35emptyM50xxxx,N1,Empty,M,50,-,-,-,35
BFE38emptyM50xxxx,N1,Empty,M,50,-,-,-,38
BFE01emptyM50xx0x,N1,Empty,M,50,-,0,-,-
BFE35emptyM50xx0x,N1,Empty,M,50,-,0,-,35
BFE38emptyM50xx0x,N1,Empty,M,50,-,0,-,38
BFE01emptyM50xx44,N1,Empty,M,50,-,44,-,-
BFE35emptyM50xx44,N1,Empty,M,50,-,44,-,35
BFE38emptyM50xx44,N1,Empty,M,50,-,44,-,38
BFE01emptyM0x40xx,N1,Empty,M,0,40,-,-,-
BFE35emptyM0x40xx,N1,Empty,M,0,40,-,-,35
BFE38emptyM0x40xx,N1,Empty,M,0,40,-,-,38
BFE01emptyM0x400x,N1,Empty,M,0,40,0,-,-
BFE35emptyM0x400x,N1,Empty,M,0,40,0,-,35
BFE38emptyM0x400x,N1,Empty,M,0,40,0,-,38
BFE01emptyM0x4044,N1,Empty,M,0,40,44,-,-
BFE35emptyM0x4044,N1,Empty,M,0,40,44,-,35
BFE38emptyM0x4044,N1,Empty,M,0,40,44,-,38
BFE01emptyM0xxxxx,N1,Empty,M,0,-,-,-,-
BFE35emptyM0xxxxx,N1,Empty,M,0,-,-,-,35
BFE38emptyM0xxxxx,N1,Empty,M,0,-,-,-,38
BFE01emptyM0xxx0x,N1,Empty,M,0,-,0,-,-
BFE35emptyM0xxx0x,N1,Empty,M,0,-,0,-,35
BFE38emptyM0xxx0x,N1,Empty,M,0,-,0,-,38
BFE01emptyM0xxx44,N1,Empty,M,0,-,44,-,-
BFE35emptyM0xxx44,N1,Empty,M,0,-,44,-,35
BFE38emptyM0xxx44,N1,Empty,M,0,-,44,-,38
BFE01emptyM4040xx,N1,Empty,M,40,40,-,-,-
BFE35emptyM4040xx,N1,Empty,M,40,40,-,-,35
BFE38emptyM4040xx,N1,Empty,M,40,40,-,-,38
BFE01emptyM40400x,N1,Empty,M,40,40,0,-,-
BFE35emptyM40400x,N1,Empty,M,40,40,0,-,35
BFE38emptyM40400x,N1,Empty,M,40,40,0,-,38
BFE01emptyM404044,N1,Empty,M,40,40,44,-,-
BFE35emptyM404044,N1,Empty,M,40,40,44,-,35
BFE38emptyM404044,N1,Empty,M,40,40,44,-,38
BFE01emptyM40xxxx,N1,Empty,M,40,-,-,-,-
BFE35emptyM40xxxx,N1,Empty,M,40,-,-,-,35
BFE38emptyM40xxxx,N1,Empty,M,40,-,-,-,38
BFE01emptyM40xx0x,N1,Empty,M,40,-,0,-,-
BFE35emptyM40xx0x,N1,Empty,M,40,-,0,-,35
BFE38emptyM40xx0x,N1,Empty,M,40,-,0,-,38
BFE01emptyM40xx44,N1,Empty,M,40,-,44,-,-
BFE35emptyM40xx44,N1,Empty,M,40,-,44,-,35
BFE38emptyM40xx44,N1,Empty,M,40,-,44,-,38
BFE01emptyM2040xx,N1,Empty,M,20,40,-,-,-
BFE35emptyM2040xx,N1,Empty,M,20,40,-,-,35
BFE38emptyM2040xx,N1,Empty,M,20,40,-,-,38
BFE01emptyM20400x,N1,Empty,M,20,40,0,-,-
BFE35emptyM20400x,N1,Empty,M,20,40,0,-,35
BFE38emptyM20400x,N1,Empty,M,20,40,0,-,38
BFE01emptyM204044,N1,Empty,M,20,40,44,-,-
BFE35emptyM204044,N1,Empty,M,20,40,44,-,35
BFE38emptyM204044,N1,Empty,M,20,40,44,-,38
BFE01emptyM20xxxx,N1,Empty,M,20,-,-,-,-
BFE35emptyM20xxxx,N1,Empty,M,20,-,-,-,35
BFE38emptyM20xxxx,N1,Empty,M,20,-,-,-,38
BFE01emptyM20xx0x,N1,Empty,M,20,-,0,-,-
BFE35emptyM20xx0x,N1,Empty,M,20,-,0,-,35
BFE38emptyM20xx0x,N1,Empty,M,20,-,0,-,38
BFE01emptyM20xx44,N1,Empty,M,20,-,44,-,-
BFE35emptyM20xx44,N1,Empty,M,20,-,44,-,35
BFE38emptyM20xx44,N1,Empty,M,20,-,44,-,38
BFE01emptyx1040xx,N1,Empty,-,10,40,-,-,-
BFE35emptyx1040xx,N1,Empty,-,10,40,-,-,35
BFE38emptyx1040xx,N1,Empty,-,10,40,-,-,38
BFE01emptyx10400x,N1,Empty,-,10,40,0,-,-
BFE35emptyx10400x,N1,Empty,-,10,40,0,-,35
BFE38emptyx10400x,N1,Empty,-,10,40,0,-,38
BFE01emptyx104044,N1,Empty,-,10,40,44,-,-
BFE35emptyx104044,N1,Empty,-,10,40,44,-,35
BFE38emptyx104044,N1,Empty,-,10,40,44,-,38
BFE01emptyx10xxxx,N1,Empty,-,10,-,-,-,-
BFE35emptyx10xxxx,N1,Empty,-,10,-,-,-,35
BFE38emptyx10xxxx,N1,Empty,-,10,-,-,-,38
BFE01emptyx10xx0x,N1,Empty,-,10,-,0,-,-
BFE35emptyx10xx0x,N1,Empty,-,10,-,0,-,35
BFE38emptyx10xx0x,N1,Empty,-,10,-,0,-,38
BFE01emptyx10xx44,N1,Empty,-,10,-,44,-,-
BFE35emptyx10xx44,N1,Empty,-,10,-,44,-,35
BFE38emptyx10xx44,N1,Empty,-,10,-,44,-,38
BFE01emptyx5040xx,N1,Empty,-,50,40,-,-,-
BFE35emptyx5040xx,N1,Empty,-,50,40,-,-,35
BFE38emptyx5040xx,N1,Empty,-,50,40,-,-,38
BFE01emptyx50400x,N1,Empty,-,50,40,0,-,-
BFE35emptyx50400x,N1,Empty,-,50,40,0,-,35
BFE38emptyx50400x,N1,Empty,-,50,40,0,-,38
BFE01emptyx504044,N1,Empty,-,50,40,44,-,-
BFE35emptyx504044,N1,Empty,-,50,40,44,-,35
BFE38emptyx504044,N1,Empty,-,50,40,44,-,38
BFE01emptyx50xxxx,N1,Empty,-,50,-,-,-,-
BFE35emptyx50xxxx,N1,Empty,-,50,-,-,-,35
BFE38emptyx50xxxx,N1,Empty,-,50,-,-,-,38
BFE01emptyx50xx0x,N1,Empty,-,50,-,0,-,-
BFE35emptyx50xx0x,N1,Empty,-,50,-,0,-,35
BFE38emptyx50xx0x,N1,Empty,-,50,-,0,-,38
BFE01emptyx50xx44,N1,Empty,-,50,-,44,-,-
BFE35emptyx50xx44,N1,Empty,-,50,-,44,-,35
BFE38emptyx50xx44,N1,Empty,-,50,-,44,-,38
BFE01emptyx0x40xx,N1,Empty,-,0,40,-,-,-
BFE35emptyx0x40xx,N1,Empty,-,0,40,-,-,35
BFE38emptyx0x40xx,N1,Empty,-,0,40,-,-,38
BFE01emptyx0x400x,N1,Empty,-,0,40,0,-,-
BFE35emptyx0x400x,N1,Empty,-,0,40,0,-,35
BFE38emptyx0x400x,N1,Empty,-,0,40,0,-,38
BFE01emptyx0x4044,N1,Empty,-,0,40,44,-,-
BFE35emptyx0x4044,N1,Empty,-,0,40,44,-,35
BFE38emptyx0x4044,N1,Empty,-,0,40,44,-,38
BFE01emptyx0xxxxx,N1,Empty,-,0,-,-,-,-
BFE35emptyx0xxxxx,N1,Empty,-,0,-,-,-,35
BFE38emptyx0xxxxx,N1,Empty,-,0,-,-,-,38
BFE01emptyx0xxx0x,N1,Empty,-,0,-,0,-,-
BFE35emptyx0xxx0x,N1,Empty,-,0,-,0,-,35
BFE38emptyx0xxx0x,N1,Empty,-,0,-,0,-,38
BFE01emptyx0xxx44,N1,Empty,-,0,-,44,-,-
BFE35emptyx0xxx44,N1,Empty,-,0,-,44,-,35
BFE38emptyx0xxx44,N1,Empty,-,0,-,44,-,38
BFE01emptyx4040xx,N1,Empty,-,40,40,-,-,-
BFE35emptyx4040xx,N1,Empty,-,40,40,-,-,35
BFE38emptyx4040xx,N1,Empty,-,40,40,-,-,38
BFE01emptyx40400x,N1,Empty,-,40,40,0,-,-
BFE35emptyx40400x,N1,Empty,-,40,40,0,-,35
BFE38emptyx40400x,N1,Empty,-,40,40,0,-,38
BFE01emptyx404044,N1,Empty,-,40,40,44,-,-
BFE35emptyx404044,N1,Empty,-,40,40,44,-,35
BFE38emptyx404044,N1,Empty,-,40,40,44,-,38
BFE01emptyx40xxxx,N1,Empty,-,40,-,-,-,-
BFE35emptyx40xxxx,N1,Empty,-,40,-,-,-,35
BFE38emptyx40xxxx,N1,Empty,-,40,-,-,-,38
BFE01emptyx40xx0x,N1,Empty,-,40,-,0,-,-
BFE35emptyx40xx0x,N1,Empty,-,40,-,0,-,35
BFE38emptyx40xx0x,N1,Empty,-,40,-,0,-,38
BFE01emptyx40xx44,N1,Empty,-,40,-,44,-,-
BFE35emptyx40xx44,N1,Empty,-,40,-,44,-,35
BFE38emptyx40xx44,N1,Empty,-,40,-,44,-,38
BFE01emptyx2040xx,N1,Empty,-,20,40,-,-,-
BFE35emptyx2040xx,N1,Empty,-,20,40,-,-,35
BFE38emptyx2040xx,N1,Empty,-,20,40,-,-,38
BFE01emptyx20400x,N1,Empty,-,20,40,0,-,-
BFE35emptyx20400x,N1,Empty,-,20,40,0,-,35
BFE38emptyx20400x,N1,Empty,-,20,40,0,-,38
BFE01emptyx204044,N1,Empty,-,20,40,44,-,-
BFE35emptyx204044,N1,Empty,-,20,40,44,-,35
BFE38emptyx204044,N1,Empty,-,20,40,44,-,38
BFE01emptyx20xxxx,N1,Empty,-,20,-,-,-,-
BFE35emptyx20xxxx,N1,Empty,-,20,-,-,-,35
BFE38emptyx20xxxx,N1,Empty,-,20,-,-,-,38
BFE01emptyx20xx0x,N1,Empty,-,20,-,0,-,-
BFE35emptyx20xx0x,N1,Empty,-,20,-,0,-,35
BFE38emptyx20xx0x,N1,Empty,-,20,-,0,-,38
BFE01emptyx20xx44,N1,Empty,-,20,-,44,-,-
BFE35emptyx20xx44,N1,Empty,-,20,-,44,-,35
BFE38emptyx20xx44,N1,Empty,-,20,-,44,-,38
BFE01emptyD1040xx,N1,Empty,D,10,40,-,-,-
BFE35emptyD1040xx,N1,Empty,D,10,40,-,-,35
BFE38emptyD1040xx,N1,Empty,D,10,40,-,-,38
BFE01emptyD10400x,N1,Empty,D,10,40,0,-,-
BFE35emptyD10400x,N1,Empty,D,10,40,0,-,35
BFE38emptyD10400x,N1,Empty,D,10,40,0,-,38
BFE01emptyD104044,N1,Empty,D,10,40,44,-,-
BFE35emptyD104044,N1,Empty,D,10,40,44,-,35
BFE38emptyD104044,N1,Empty,D,10,40,44,-,38
BFE01emptyD10xxxx,N1,Empty,D,10,-,-,-,-
BFE35emptyD10xxxx,N1,Empty,D,10,-,-,-,35
BFE38emptyD10xxxx,N1,Empty,D,10,-,-,-,38
BFE01emptyD10xx0x,N1,Empty,D,10,-,0,-,-
BFE35emptyD10xx0x,N1,Empty,D,10,-,0,-,35
BFE38emptyD10xx0x,N1,Empty,D,10,-,0,-,38
BFE01emptyD10xx44,N1,Empty,D,10,-,44,-,-
BFE35emptyD10xx44,N1,Empty,D,10,-,44,-,35
BFE38emptyD10xx44,N1,Empty,D,10,-,44,-,38
BFE01emptyD5040xx,N1,Empty,D,50,40,-,-,-
BFE35emptyD5040xx,N1,Empty,D,50,40,-,-,35
BFE38emptyD5040xx,N1,Empty,D,50,40,-,-,38
BFE01emptyD50400x,N1,Empty,D,50,40,0,-,-
BFE35emptyD50400x,N1,Empty,D,50,40,0,-,35
BFE38emptyD50400x,N1,Empty,D,50,40,0,-,38
BFE01emptyD504044,N1,Empty,D,50,40,44,-,-
BFE35emptyD504044,N1,Empty,D,50,40,44,-,35
BFE38emptyD504044,N1,Empty,D,50,40,44,-,38
BFE01emptyD50xxxx,N1,Empty,D,50,-,-,-,-
BFE35emptyD50xxxx,N1,Empty,D,50,-,-,-,35
BFE38emptyD50xxxx,N1,Empty,D,50,-,-,-,38
BFE01emptyD50xx0x,N1,Empty,D,50,-,0,-,-
BFE35emptyD50xx0x,N1,Empty,D,50,-,0,-,35
BFE38emptyD50xx0x,N1,Empty,D,50,-,0,-,38
BFE01emptyD50xx44,N1,Empty,D,50,-,44,-,-
BFE35emptyD50xx44,N1,Empty,D,50,-,44,-,35
BFE38emptyD50xx44,N1,Empty,D,50,-,44,-,38
BFE01emptyD0x40xx,N1,Empty,D,0,40,-,-,-
BFE35emptyD0x40xx,N1,Empty,D,0,40,-,-,35
BFE38emptyD0x40xx,N1,Empty,D,0,40,-,-,38
BFE01emptyD0x400x,N1,Empty,D,0,40,0,-,-
BFE35emptyD0x400x,N1,Empty,D,0,40,0,-,35
BFE38emptyD0x400x,N1,Empty,D,0,40,0,-,38
BFE01emptyD0x4044,N1,Empty,D,0,40,44,-,-
BFE35emptyD0x4044,N1,Empty,D,0,40,44,-,35
BFE38emptyD0x4044,N1,Empty,D,0,40,44,-,38
BFE01emptyD0xxxxx,N1,Empty,D,0,-,-,-,-
BFE35emptyD0xxxxx,N1,Empty,D,0,-,-,-,35
BFE38emptyD0xxxxx,N1,Empty,D,0,-,-,-,38
BFE01emptyD0xxx0x,N1,Empty,D,0,-,0,-,-
BFE35emptyD0xxx0x,N1,Empty,D,0,-,0,-,35
BFE38emptyD0xxx0x,N1,Empty,D,0,-,0,-,38
BFE01emptyD0xxx44,N1,Empty,D,0,-,44,-,-
BFE35emptyD0xxx44,N1,Empty,D,0,-,44,-,35
BFE38emptyD0xxx44,N1,Empty,D,0,-,44,-,38
BFE01emptyD4040xx,N1,Empty,D,40,40,-,-,-
BFE35emptyD4040xx,N1,Empty,D,40,40,-,-,35
BFE38emptyD4040xx,N1,Empty,D,40,40,-,-,38
BFE01emptyD40400x,N1,Empty,D,40,40,0,-,-
BFE35emptyD40400x,N1,Empty,D,40,40,0,-,35
BFE38emptyD40400x,N1,Empty,D,40,40,0,-,38
BFE01emptyD404044,N1,Empty,D,40,40,44,-,-
BFE35emptyD404044,N1,Empty,D,40,40,44,-,35
BFE38emptyD404044,N1,Empty,D,40,40,44,-,38
BFE01emptyD40xxxx,N1,Empty,D,40,-,-,-,-
BFE35emptyD40xxxx,N1,Empty,D,40,-,-,-,35
BFE38emptyD40xxxx,N1,Empty,D,40,-,-,-,38
BFE01emptyD40xx0x,N1,Empty,D,40,-,0,-,-
BFE35emptyD40xx0x,N1,Empty,D,40,-,0,-,35
BFE38emptyD40xx0x,N1,Empty,D,40,-,0,-,38
BFE01emptyD40xx44,N1,Empty,D,40,-,44,-,-
